input_name,normalized,slug,found,method,confidence,source_url,saved_path,variants_tried,error
sky sports news,sky news,sky_news,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/5/5e/Sky-news-logo.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_news.jpg,sky news,
sky sports main event,sky main event,sky_main_event,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/90/Frankfurt_am_Main%2C_R%C3%B6mer_--_2015_--_6695-9.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_main_event.jpg,sky main event,
sky sports cricket,sky cricket,sky_cricket,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/f/fb/Cricket_commentator_Mel_Jones.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_cricket.jpg,sky cricket,
sky sports action,sky action,sky_action,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/1/1e/Sky_Cinema_Action_HD_-_Logo_2021.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_action.svg,sky action,
sky sports golf,sky golf,sky_golf,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sky_Sport_Golf_-_Logo_2018.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_golf.svg,sky golf,
sky sports premier league,sky premier league,sky_premier_league,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/4/47/2025-04-03_Premier_League_Darts_Berlin_2025_by_Sandro_Halank%E2%80%93012.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_premier_league.jpg,sky premier league,
sky sports f1,sky f1,sky_f1,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/6/60/Sky_Sport_F1_-_Logo_2026.svg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_f1.svg,sky f1,
sky sports +,sky +,sky,True,commons_search,0.8,https://upload.wikimedia.org/wikipedia/commons/9/90/Linden_trees_and_the_sky_in_Planina%2C_Postojna%2C_Slovenia.jpg,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky.jpg,sky +,
sky sports football,sky football,sky_football,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_football.jpg,sky,
sky sports mix,sky mix,sky_mix,True,master_reuse:sky,0.6,,C:\Users\Plex\PycharmProjects\PeakDecline\static\img\logos\sky_mix.jpg,sky,
